Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR3487376,2019-08-22 09:34:22,2019-08-22 10:58:28,12205853,2197053540,12205853,180,1461,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487376.sralite.1,ERX3508836,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670343,SAMEA5881882,simple,2602358,Maianthemum sp. 1KP,SAMEA5881882,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,A2E310AE3E384128BC109E53E7DE31EC,CABEB77E76AA7A040C9B1317DD6BAC05
ERR3487377,2019-08-22 09:34:22,2019-08-22 10:58:17,8839243,1591063740,8839243,180,1069,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487377.sralite.1,ERX3508837,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670344,SAMEA5881883,simple,2602360,Hemerocallis sp. 1KP-A,SAMEA5881883,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,4D30B1C7DF7D8167B9CE87356DF69F5D,BE440C8C5D45925636926F705853AC5F
ERR3487378,2019-08-22 09:34:22,2019-08-22 10:59:38,13350490,2403088200,13350490,180,1803,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487378.sralite.1,ERX3508838,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670345,SAMEA5881884,simple,2602361,Hemerocallis sp. 1KP-B,SAMEA5881884,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,219A65387AAE913E993D73C9F6A2A7B8,78F3B18C0B1E4F31D595EC83627DA8D0
ERR3487379,2019-08-22 09:34:22,2019-08-22 10:59:35,12843733,2311871940,12843733,180,1732,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487379.sralite.1,ERX3508839,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670346,SAMEA5881885,simple,2602363,Curculigo sp. 1KP,SAMEA5881885,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,8BFAF5F384603B171C14E7DE40C84CAF,757470030DACA11632C9911DCC51F56C
ERR3487380,2019-08-22 09:34:22,2019-08-22 10:59:26,11176984,2011857120,11176984,180,1352,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487380.sralite.1,ERX3508840,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670347,SAMEA5881886,simple,1526612,Masdevallia yungasensis,SAMEA5881886,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,C5A29BB2AC913BE11B640AE589712BFD,D69A6AB5FFB3927A234C15118F1320FD
ERR3487381,2019-08-22 09:34:22,2019-08-22 11:00:31,12610236,2269842480,12610236,180,1445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487381.sralite.1,ERX3508841,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670348,SAMEA5881887,simple,2602365,Ruscus sp. 1KP,SAMEA5881887,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,2861592DFBC75122EDEAF5C64D7A1172,07127F1D17349D0AEE0CD1FCFE520A0B
ERR3487382,2019-08-22 09:34:22,2019-08-22 11:01:11,7330820,1319547600,7330820,180,999,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487382.sralite.1,ERX3508842,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670349,SAMEA5881888,simple,1799577,Eriospermum lanceifolium,SAMEA5881888,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,B2788F3F4B319A9F8AE582D819B853B7,BD41E2E662A8A4925518D2567347AD98
ERR3487383,2019-08-22 09:34:22,2019-08-22 11:01:41,15979289,2876272020,15979289,180,2186,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487383.sralite.1,ERX3508843,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670350,SAMEA5881889,simple,2602367,Canna sp. 1KP,SAMEA5881889,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,EAA62C49C0BC2BC61CA3FB5775C556A1,E7D8F7FDDF19AE8E9D5F2641D69A0072
ERR3487384,2019-08-22 09:34:22,2019-08-22 11:01:37,12796988,2303457840,12796988,180,1544,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487384.sralite.1,ERX3508844,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670351,SAMEA5881890,simple,2602368,Heliconia sp. 1KP,SAMEA5881890,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,13A226E325236E63BB6A25C2753BE641,E326590BF836A7379B04A526D83B442C
ERR3487385,2019-08-22 09:34:22,2019-08-22 11:02:47,15487342,2787721560,15487342,180,2104,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/ERR003/487/ERR3487385.sralite.1,ERX3508845,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670352,SAMEA5881891,simple,2602368,Heliconia sp. 1KP,SAMEA5881891,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,5AEF01FC812B672E7A75C314F3E5911C,8C2BD9CEC47C481D1BD7CE89B56F71AA
ERR3487386,2019-08-22 09:34:22,2019-08-22 11:02:51,12098054,2177649720,12098054,180,1473,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/ERR003/487/ERR3487386.sralite.1,ERX3508846,unspecified,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,200,0,ILLUMINA,Illumina HiSeq 2000,ERP023948,PRJEB21674,,393814,ERS3670353,SAMEA5881892,simple,2602391,Triodia sp. 1KP,SAMEA5881892,,,,,,,no,,,,,DEPARTMENT OF BIOLOGICAL SCIENCES,ERA2099815,,public,B36F735AF369953C7CFE09073A144859,705DAE199CC57BF491A43B9B12325309
