Run,SampleName,BioProject
B1D_S12,Brown1,Low
B1L_S8,Brown1,High
B1_S1,Brown1,Medium
B2D_S13,Brown2,Low
B2Dayo_S24,Brown2,Medium
B2L_S9,Brown2,High
B3D_S14,Brown3,Low
B3L_S10,Brown3,High
B3_S2,Brown3,Medium
B4D_S15,Brown4,Low
B4L_S11,Brown4,High
B4_S3,Brown4,Medium
G1D_S20,Green1,Low
G1L_S16,Green1,High
G1_S4,Green1,Medium
G2D_S21,Green2,Low
G2L_S17,Green2,High
G2_S5,Green2,Medium
G3D_S22,Green3,Low
G3L_S18,Green3,High
G3_S6,Green3,Medium
G4D_S23,Green4,Low
G4L_S19,Green4,High
G4_S7,Green4,Medium
